idiom,sentence,gold translation
Keep one's nose out,"The NRA will lose ground by attaching its name to this case and should keep its nose out.","NRA اعتبار خود را با اتصال نامش به این پرونده از دست می دهد و باید از دخالت کردن خودداری کند."
Keep up,"Please use it as a reminder to ensure that you keep up the good work and the resolutions you have started.","لطفا از این به عنوان یادآوری استفاده کن تا مطمئن شوی به کار خوب و تصمیماتی که شروع کرده ای ادامه میدهی."
to a T,"Ambitious, calculating, ruthless … well, they summed up Luke Calder to a T!","بلندپرواز، حسابگر و بی رحم، خب آنها دقیقا لوک کالدر را توصیف کرده اند."
Keep tabs on someone,"At least, this human being loyally follows me around the place, keeps tabs on me, and rings me up the whole time.","حداقل این آدم وفادارانه من را دنبال میکند، حواسش به من هست و همیشه به من زنگ میزند."
Keep tabs on someone,"US Intelligence kept tabs on his every move, determined to avenge Pearl Harbor.","سازمان اطلاعاتی آمریکا، مصمم برای گرفتن انتقام پرل هاربر، همه حرکات او را زیر نظر داشت."
out of the blue,"Salvation, finally, appeared out of the blue one night in the shape of a young trainer.","رستگاری در نهایت یک شب به صورت غیر منتظره ای در قالب یک مربی جوان ظاهر شد."
kick the bucket,"he wanted to make sure I was going to be sensible about all that money when he finally kicked the bucket.","او میخواست مطمئن شود وقتی که درنهایت میمیرد، با آنهمه پول عاقلانه برخورد میکنم."
kill time,"I meditate whenever I need to kill a little time throughout the day.","هر وقت که می خواهم در طول روز وقت بگذراندم مدیتیت می کنم."
by the skin of one's teeth,"He escaped from the secret police by the skin of his teeth.","او به سختی از پلس مخفی فرار کرد."
dark horse,"Jerry Brown, the Democrats ' dark horse in the presidential primaries, is settled in a worn armchair, cradling a 10-month-old baby called Peter.","جری براون، برنده غیرمترقبه دموکرات ها در انتخابات مقدماتی ریاست جمهوری، در حالیکه که بچه ای 10 ماهه به نام پیتر را بغل کرده است، در صندلی راحتی کهنه ای نشسته است."
out of the picture,"With Diana out of the picture, Charles is emerging as a fitting father figure.","با کنار رفتن دایانا، چارلز دارد به عنوان یک چهره پدرانه مناسب ظاهر می شود."
do the trick,"If he does make it and this machine has done the trick I will gladly pay out Pounds 25,000 myself to buy one.",".اگر او زنده بماند و این ماشین کارساز باشد، من با خوشحالی همه 25000 دلار را پرداخت میکنم و یکی از آن میخرم."
drag one's feet,"Partly, I was not doing the work because I thought my tutor had decided I was a dumb but, more importantly, I was dragging my feet because I was not keen on the work itself.","تا حدی، کار را به این علت انجام نمی‌دادم که فکر می‌کردم استاد راهنمام تصمیم گرفته است که من یک احمق هستم، اما مهم‌تر از آن، به این دلیل که به خود کار علاقه‌ای نداشتم آن را با اکراه انجام میدادم."
draw fire,"It was well received in the horticultural press but drew fire from the advocates of formal gardening.",".در مطبوعات باغبانی به خوبی مورد استقبال قرار گرفت اما از طرف طرفداران باغبانی رسمی مورد انتقاد قرار گرفت"
draw the shortest straw,"As the person who drew the shortest straw to be editor of the first edition of the revamped CIBLINGS, it comes down to me to think of something to fill the vast amount of space which is the front page.","به عنوان فردی بدشانسی که برای ویراستاری نسخه به روز شده CIBLINGS انتخاب شده، فکر کردن به چیزی برای پر کردن فضای وسیع صفحه اول بر عهده من است."
drive someone up the wall,"Poor Mrs has lots of children and they were driving her up the wall!","خانم بیچاره بچه های زیادی دارد که او را روانی میکردند."
drop a bombshell,"It was then that the Queen dropped her bombshell.","در آن هنگام بود که ملکه اخبار غافلگیرکننده خود را گفت."
drop the subject,"Alexia held his glance for a few moments, a furrow between her eyebrows, and dropped the subject.","الکسیا برای چند لحظه با اخم به او خیره شد و موضوع را رها کرد."
rack one's brain,"Desperately Leith racked her brains, but there was nothing she could tell him, only the truth.","لیث با ناامیدی سعی کرد تا به یاد بیاورد، اما هیچ چیزی برای گفتن نبود، جز حقیقت."
have a raw deal,"Does that mean the older people here have had a raw deal?","آیا این یعنی اینجا با مردم پیر ناعادلانه برخورد شده است؟"
at hand,"With the holiday season at hand, everyone is very excited.","با نزدیک شدن فصل تعطیلات ،همه هیجان زده هستند."
behind someone's back,"People were whispering about me behind my back — smiling to my face of course — but whispering behind my back.","مردم پشت سر من حرف می زدند - البته در رویم لبخند میزدند - اما پشت سرم حرف میزدند."
