idiom,sentence,gold translation
دست خود را جایی بند کردن,"یادت باشد در این مملکت تا دستت را به صاحب مقامی یا صاحب منصبی بند نکنی موفق نمیشوی.","Remember, in this country,  you will not be successful unless you establish a connection with someone in power."
حال کسی را جا اوردن,"صاحب کافه به کمک یکی از مشتریان او را به خیابان برد و حالش را جا اورد","The café owner, with the help of one of the customers, took him to the street and put him back in his place."
حال وهوای کسی یا کاری را داشتن,"دیشب اصلا حال و هوای هیچ کاری را نداشتم دوتا شیشه ابجو از یخچال برداشتم و نشستم جلوی تلویزیون","Last night, I wasn't in the mood to do anything. I took two bottles of beer from the fridge and sat in front of the TV."
عاشق چشم و ابروی کسی بودن,"به خیالت می رسه من عاشق چشم و ابروت هستم؟یه لگد بهت می زنم بفهمی چه خبره.","Do you think I like you so much? I'll kick you so you understand what's going on."
پای کسی یا چیزی به وسط امدن,"در ماجرای قتل یک فاحشه ی درباری پای یکی از برادران شاه به وسط امد","In the case of the murder of a court prostitute, one of the king's brothers got involved."
پای کسی را به وسط کشیدن,"خواهش می کنم پای من یکی را به میان نکش من خودم به اندازه ی کافی مشکل دارم","Please don't drag me into this; I already have enough problems."
پا از چیزی بیرون گذاشتن,"هرگز نباید پا از جاده ی ادب بیرون گذاشت","One should always be polite."
زارت,"ناگهان عصبانی شد و زارتی زد تو گوشم","He suddenly got angry and quickly slapped me in the face."
پای کسی درکار بودن,"در این ماجرا پای آدم های زیادی درکار است","There are so many people involved in this matter."
دل کسی برای چیزی ضعف رفتن,"دلم برای بچه هاش ضعف می ره اما زنش نمی ذاره بیان پیش من","I am very fond of her children, but she won't let them visit me."
باری روی دوش کسی گذاشتن,"به خیال خودش می خواست به ما کمکی بکند اما با این کارش باری هم روی دوش ما گذاشت","He thought he was helping us, but instead, he created more problems for us."
جای ان است که,"همچنین جای ان دارد که این اتفاق با جزییات بیشتری بررسی بشود.","It is also appropriate that this incident be examined in greater detail."
صحبت کسی با دیگری گل انداختن,"صحبت شان حسابی گل انداخته بود و به نظر می رسید که خیال پایان دادن به صحبت را ندارند","Their conversation had become very lively and they didn’t seem to have any intention of stopping."
حال کسی سر جایش امدن,"مثل اینکه تا کتک نخوری حالت جا نمی اد","It seems like you won't come to your senses until you get beaten."
توی شکم کسی رفتن,"او ادم بزدلی است اگر توی شکمش بروی تسلیم می شود و فرار می کند","He is a coward; if you confront him, he will give up and run away."
جای چانه داشتن,"قیمتش خیلی بالا نیست اما گمان می کنم باز هم جای چونه داره","The price isn't too high, but I think there's still room to negotiate."
چیزی را روی دایره ریختن,"من اعتماد کردم و حرف دلم را به او زدم اما او به هر کس رسید همه را روی دایره ریخت","I trusted and spoke my heart to him, but he revealed all my secrets to everyone he encountered."
پاها را توی یک کفش کردن,"دختر هر دو پایش را در یک کفش کرده بود که فقط و فقط همان پیراهن را می خواهد","The girl was stubbornly set on having that one dress and nothing else."
خود کرده را تدبیر نیست,"تقصیر خودت بود که بی توجه به نصیحت من به این شخص اعتماد کردی و به دردسر افتادی. خود کرده را تدبیر نیست","It was your own fault for trusting that person despite my advice, and now you got into trouble. You must face the consequences of your own actions."
چوب توی کون کسی کردن,"حواستو جمع کن اگه گیر بیفتی چوب توی کونت می کنن","Be careful, if you get caught, they will severely punish you."
عمرا,"عمرا بتونن ما رو ببرن تو بازی","They will never be able to beat us in the game."
یادش به خیر,"یادش به خیر همیشه دوستان را دور هم جمع می کرد و انسان خوبی بود","Ah, the good old days. He always brought friends together and was a good person."
شاخ شدن,"در جام جهانی روسیه کره واسه المان شاخ شد","In the Russian World Cup, South Korea stood up to Germany."
خود را گرفتن,"از وقتی کارمند دولت شده بود رفتارش عوض شده بود و خودش را برای ما می گرفت","Ever since he became a government employee, his behavior had changed, and he started acting like he's superior to us."
از حال رفتن,"حاج خانم اونقدر حرف زد که داشتم از حال می رفتم","The old lady talked so much that I was about to pass out."
پای کسی جلو نرفتن,"راستش را بخواهی دیگر پایم پیش نمی رود به دیدنش بروم","To be honest, I just don't feel like going to see him anymore."
اب در لانه ی کسی ریختن,"مثل اینکه آب توی لانه مورچه ریخته باشند کوچه پر شداز جمعیت.","There was a huge commotion and the alley was filled with people."
دست پیش گرفتن تا اینکه پس نیفتند,"حالا دست پیش گرفته که پس نیفتد برای اینکه به خاطر کثافت کاری هایش مورد مواخذه قرار نگیرد دیگران را متهم می کند","Now he's taking preemptive measures so he won't be held accountable; to avoid being blamed for his misdeeds, he accuses others."
چیزی را جلوی بچه بگذاری قهر می کند,"اخه با این یه ریزه برنج که کسی سیر نمی شه اینو پیش بچه بذاری قهر می کنه","No one can get full with such a tiny amount of rice. It's hardly enough for anyone."
دل دادن و قلوه گرفتن,"دل داده بودند و قلوه گرفته بودند و از گذشت زمان غافل بودند","They were deeply engrossed in friendly conversation and lost track of time."
به بار نشستن,"تلاش هایشان پس از مدت ها انتظار به بار نشست و از رفاهی نسبی برخوردار شدند","After a long wait, their efforts finally yielded results, and they achieved relative prosperity."
کلاه خود را قاضی کردن,"نمی خواست یک آدم مزاحم را سر سفره اش ببیند خود من هم وقتی کلاهم را قاضی می کردم به او حق می دادم","He didn't want to have a nuisance at his table and when I judged myself, I agreed with him."
پشم وپیله ی کسی ریختن,"در دوران جوانی خیلی قلدر بود ولی بعد از اینکه ده سال به زندان افتاد، پشم وپیله اش ریخت و آدم خوبی شد.","He was a bully when he was young but after spending ten years in prison, he lost all his power and became a good person."
پا توی کفش کسی کردن,"بازرس مالیات از مدتی پیش پا توی کفش ما کرده ناگهان به دفتر ما میاید و دفاتر حسابداری ما را بازبینی می کند","The tax inspector has been meddling in our affairs for some time now, he suddenly comes to our office and reviews our accounting records."
اگر توی سر سگ بزنی می ریزد,"سرعت تولید مثل به قدری زیاد بود که چوب سر سگ می زدند ادمیزاد می ریخت","The speed of reproduction was so high that there were humans everywhere."
ارث بابای خود را طلبکار بودن,"طوری به من پرخاش میکند مثل اینکه ارث باباش را از من می خواهد","He is aggressive towards me as if I owe him something."
وصله ای به کسی چسباندن,"هر وصله ی ناجوری که توانستند به او بستند تا او را وادار به استعفا کنند","They threw every possible false accusation at him to force him to resign."
بر باد رفتن,"اموال بسیاری از مردم در اثر ان زلزله بر باد رفت","Many people's possessions were lost in that earthquake."
اخم را درهم کشیدن,"همین که صحبت از پول شد اخم هایش را درهم کشید","As soon as money was mentioned, he scowled in anger."
از چاک اسمان افتادن کسی,"مگر از چاک اسمان افتاده که اینطور مغرورانه رفتار میکند","Does he think there's something special about him that he acts so arrogantly?"
